text,label
happy,Positive
very happy,Positive
he is happy,Positive
I am happy,Positive
so happy,Positive
I'm happy,Positive
feeling happy,Positive
very very happy,Positive
excited,Positive
I am excited,Positive
so excited,Positive
delighted,Positive
I am delighted,Positive
joyful,Positive
joy,Positive
love,Positive
I love this,Positive
I love it,Positive
loving it,Positive
wonderful,Positive
this is wonderful,Positive
amazing,Positive
that is amazing,Positive
fantastic,Positive
this is fantastic,Positive
great,Positive
that is great,Positive
good,Positive
very good,Positive
excellent,Positive
excellent work,Positive
perfect,Positive
this is perfect,Positive
beautiful,Positive
awesome,Positive
that is awesome,Positive
brilliant,Positive
superb,Positive
outstanding,Positive
impressive,Positive
wonderful experience,Positive
glad,Positive
I am glad,Positive
satisfied,Positive
very satisfied,Positive
pleased,Positive
very pleased,Positive
thrilled,Positive
enjoyed,Positive
I enjoyed it,Positive
enjoyed it,Positive
best,Positive
this is the best,Positive
best service,Positive
really good,Positive
wonderful job,Positive
amazing work,Positive
fantastic job,Positive
you are amazing,Positive
The new grievance portal resolved my complaint within two days.,Positive
Streetlight repair updates are now timely and very clear.,Positive
Online property tax payment is smooth and easy to complete.,Positive
The city app sends useful alerts about water supply schedules.,Positive
Garbage collection has become regular in our neighborhood.,Positive
Bus tracking information is accurate and helps daily commuters.,Positive
The helpline staff were polite and solved my issue quickly.,Positive
Road repair work started quickly after residents reported potholes.,Positive
Public park maintenance has improved and the area looks clean.,Positive
Digital certificate services save a lot of time for citizens.,Positive
The traffic control system reduced congestion during peak hours.,Positive
My service request status was updated clearly at every step.,Positive
Water leakage was fixed the same day after reporting it.,Positive
The city website now loads fast and is easy to navigate.,Positive
Community feedback meetings are well organized and informative.,Positive
The complaint dashboard is transparent and shows proper timelines.,Positive
Smart parking guidance reduced searching time near the market.,Positive
Emergency response teams reached our area very quickly.,Positive
Public toilet cleaning has improved in the bus stand area.,Positive
The civic center queue system is efficient and well managed.,Positive
sad,Negative
very sad,Negative
I am sad,Negative
so sad,Negative
crying,Negative
I am crying,Negative
he is crying,Negative
she is crying,Negative
I was crying,Negative
crying all day,Negative
cry,Negative
I cry,Negative
hate,Negative
I hate this,Negative
I hate it,Negative
hating it,Negative
terrible,Negative
this is terrible,Negative
awful,Negative
that is awful,Negative
horrible,Negative
this is horrible,Negative
bad,Negative
very bad,Negative
worse,Negative
worst,Negative
disgusting,Negative
disappointed,Negative
I am disappointed,Negative
very disappointed,Negative
useless,Negative
pathetic,Negative
dreadful,Negative
unacceptable,Negative
disappointing,Negative
ugly,Negative
poor,Negative
poor quality,Negative
bad service,Negative
not good,Negative
not happy,Negative
unhappy,Negative
I'm unhappy,Negative
angry,Negative
I am angry,Negative
so angry,Negative
furious,Negative
frustrated,Negative
I am frustrated,Negative
annoyed,Negative
I am annoyed,Negative
upset,Negative
I am upset,Negative
stressed,Negative
I am stressed,Negative
worried,Negative
I am worried,Negative
scared,Negative
I am scared,Negative
afraid,Negative
I am afraid,Negative
depressed,Negative
I am depressed,Negative
miserable,Negative
I am miserable,Negative
terrible experience,Negative
bad experience,Negative
awful experience,Negative
horrible experience,Negative
worst experience,Negative
normal,Neutral
it is normal,Neutral
that is normal,Neutral
he is normal,Neutral
she is normal,Neutral
very normal,Neutral
quite normal,Neutral
average,Neutral
just average,Neutral
okay,Neutral
it is okay,Neutral
alright,Neutral
that is alright,Neutral
fine,Neutral
it is fine,Neutral
moderate,Neutral
neither good nor bad,Neutral
so-so,Neutral
plain,Neutral
simple,Neutral
ordinary,Neutral
The meeting was scheduled for tomorrow.,Neutral
The office is open from 9 AM to 5 PM.,Neutral
The report contains 20 pages.,Neutral
There are five departments in the organization.,Neutral
The building has three floors.,Neutral
The department works on project management.,Neutral
The deadline is next Friday.,Neutral
The event will be held in the main hall.,Neutral
